"id","email","age","distance2offline","online_visits","online_trans","online_ads","online_spend","offline_trans","offline_spend","rating4service","rating4products","newsreceived","newscharges"
332,"yes",37,23.285,1,0,1,0,0,0,NA,NA,63,589.25
333,"yes",27,4.782,1,0,3,0,1,39.19,NA,NA,30,954.9
334,"yes",32,4.289,0,0,0,0,0,0,3,3,27,3626.35
335,"yes",34,9.203,0,0,2,0,1,35.46,3,2,21,926.2
336,"yes",32,8.82,7,4,3,67.05,0,0,2,1,18,5375.15
337,"yes",29,30.597,0,0,1,0,2,75.07,NA,NA,54,1210.3
338,"yes",39,13.909,1,0,1,0,1,25.54,NA,NA,1,767.9
339,"yes",28,30.213,5,1,1,7.05,0,0,NA,NA,43,46.3
340,"yes",31,5.569,0,0,2,0,2,80.94,NA,NA,2,2754.45
341,"yes",31,6.367,9,3,1,19.02,5,121.19,3,3,15,4109
342,"yes",26,8.625,13,3,1,21.03,0,0,4,3,1,5000.2
343,"yes",33,13.792,40,9,1,51.73,3,72.61,3,2,1,70.6
344,"yes",37,2.12,0,0,2,0,1,39.66,4,3,64,45.25
345,"yes",42,7.209,1,0,2,0,0,0,NA,NA,12,267.35
346,"no",33,36.18,11,6,2,90.73,0,0,2,2,47,5708.2
347,"yes",39,7.791,36,13,2,156.05,1,40.68,3,2,68,519.15
348,"yes",39,6.498,87,29,0,0,1,36.33,NA,NA,70,129.15
349,"yes",47,16.303,21,7,2,93.46,1,49.85,NA,NA,56,4273.45
350,"yes",29,7.267,17,7,3,129.34,0,0,3,3,4,1718.35
351,"yes",31,11.506,69,17,1,95.24,0,0,NA,NA,56,4179.1
352,"yes",35,7.796,14,6,3,113.94,0,0,2,1,37,3588.4
353,"yes",39,28.422,117,27,1,189.32,0,0,2,1,8,1861.1
354,"yes",29,38.838,58,24,1,113.89,0,0,3,3,12,198.6
355,"yes",30,1.678,0,0,2,0,0,0,3,2,29,571.05
356,"yes",30,4.038,3,2,1,10.33,0,0,NA,NA,5,20.25
357,"yes",31,7.633,0,0,2,0,0,0,4,3,4,1498.55
358,"yes",36,18.151,0,0,0,0,3,95.97,3,3,31,324.3
359,"yes",39,10.164,107,32,2,387.4,0,0,NA,NA,49,4461.85
360,"yes",30,4.332,18,9,3,150.78,0,0,3,2,5,4685.55
361,"yes",34,5.588,10,1,1,6.35,4,188.17,3,3,35,6227.5
362,"yes",30,0.303,0,0,1,0,4,104.72,3,2,55,4438.2
363,"yes",29,7.86,2,2,2,26.96,1,30.01,NA,NA,50,7382.25
364,"yes",40,1.121,15,4,1,23.58,2,61.51,3,1,72,5068.05
365,"yes",41,11.215,17,5,0,0,1,21.54,3,2,54,229.5
366,"no",43,3.652,11,3,0,0,2,112.8,3,1,71,6981.35
367,"yes",33,32.183,0,0,3,0,0,0,3,2,13,953.45
368,"yes",28,1.043,2,2,2,25.82,1,74.61,3,3,6,3990.75
369,"yes",30,20.819,85,23,1,114.62,2,72.45,4,3,58,401.5
370,"no",27,3.213,0,0,2,0,2,152.23,3,2,46,1446.8
371,"yes",28,7.696,2,0,3,0,0,0,NA,NA,45,44.15
372,"yes",29,4.133,7,1,1,5.27,0,0,4,3,48,1057.55
373,"yes",33,0.591,2,1,0,0,3,37.67,3,3,24,2424.45
374,"yes",35,19.943,11,3,3,51.16,1,24.86,2,2,15,1302.65
375,"yes",37,3.762,0,0,0,0,0,0,NA,NA,9,4299.75
376,"yes",23,18.479,0,0,3,0,1,25.32,4,2,59,164.5
377,"yes",39,50.873,69,25,1,160.33,0,0,3,1,32,19.65
378,"yes",41,17.931,62,21,1,125.71,0,0,NA,NA,6,713.1
379,"yes",34,18.04,0,0,0,0,1,35.41,NA,NA,39,945.7
380,"yes",32,5.904,28,11,1,65.91,0,0,3,2,46,211.95
381,"yes",45,29.334,0,0,0,0,1,38.8,3,3,33,1955.4
382,"yes",36,7.183,0,0,1,0,2,43.8,NA,NA,11,4732.35
383,"yes",38,1.735,22,9,0,0,1,72.47,4,4,67,3624.3
384,"yes",36,1.453,1,1,2,15.28,4,135.33,NA,NA,33,94.6
385,"yes",30,2.126,52,22,3,405.21,4,287.75,4,3,1,169.8
386,"yes",34,10.952,10,3,1,21.6,0,0,NA,NA,31,1067.05
387,"yes",41,3.155,1,1,2,14.49,2,63.16,3,1,1,4056.75
388,"yes",38,1.5,6,1,3,13.97,4,104.76,3,2,11,1810.55
389,"yes",31,3.093,105,39,0,0,1,25.44,3,3,57,232.55
390,"yes",30,4.85,19,10,0,0,1,28.76,NA,NA,71,2444.25
391,"yes",33,25.336,42,13,2,154.04,0,0,3,3,14,302.75
392,"yes",42,7.121,34,11,1,68.5,1,15.02,NA,NA,1,1119.35
393,"yes",38,4.502,0,0,2,0,3,81.15,3,2,10,880.2
394,"no",34,3.611,36,13,1,73.57,1,41.92,NA,NA,1,3313.4
395,"yes",33,8.365,52,15,3,289.29,0,0,3,2,23,5943.65
396,"no",38,18.179,9,1,3,19.06,1,49.74,NA,NA,71,821.6
397,"yes",32,3.453,10,1,4,22.58,3,101.79,4,3,20,5899.85
398,"no",34,21.473,0,0,2,0,1,30.17,NA,NA,3,8312.75
399,"yes",41,2.832,42,12,1,78.51,0,0,NA,NA,29,578.5
400,"yes",40,8.598,1,1,2,11.9,0,0,3,3,1,3533.6
401,"no",39,5.083,21,5,1,30.07,0,0,3,3,32,1023.75
402,"no",27,1.228,11,3,0,0,1,32.7,4,3,5,347.65
403,"yes",29,2.579,11,3,2,45.24,3,107.04,3,3,39,70.6
404,"yes",32,0.223,3,1,4,22.5,1,31.14,NA,NA,23,6993.65
405,"yes",29,10.778,11,5,1,26.67,1,82.77,NA,NA,17,51.15
406,"yes",42,1.748,11,3,1,17.69,1,54.65,3,2,66,2664.3
407,"yes",36,3.698,54,19,1,117.67,1,39.87,2,2,11,2952.85
408,"yes",45,8.016,0,0,2,0,2,61.21,NA,NA,45,7039.45
409,"yes",31,2.902,25,8,2,82.85,2,27.64,NA,NA,9,2627.35
410,"yes",32,3.527,9,2,1,12.44,4,145.53,3,2,42,866.4
411,"no",35,0.486,0,0,1,0,4,105.54,2,3,72,253.8
412,"yes",31,18.412,0,0,1,0,0,0,3,3,53,78.95
413,"yes",30,1.691,21,7,1,41.85,4,99.51,5,4,39,5265.2
414,"yes",32,2.107,26,8,2,91.14,2,95.14,3,2,72,76.35
415,"no",33,3.533,14,6,1,37.29,2,51.54,3,1,33,2684.35
416,"no",26,109.891,0,0,1,0,0,0,NA,NA,15,4300.8
417,"yes",36,43.545,15,3,1,17.79,0,0,NA,NA,72,75.55
418,"yes",43,2.937,7,2,0,0,2,78.93,3,3,27,415.55
419,"yes",34,1.658,8,3,1,16.4,3,136.61,3,3,68,1815.65
420,"yes",35,8.903,4,3,1,17.72,1,60.52,5,5,61,2898.95
421,"yes",27,11.179,167,49,1,348.66,0,0,NA,NA,2,273.25
422,"yes",32,2.994,3,0,0,0,5,224.69,4,3,63,389.95
423,"yes",26,16.731,0,0,1,0,1,38.69,NA,NA,24,7082.45
424,"yes",33,2.776,3,1,2,11.54,0,0,3,1,64,167.5
425,"yes",20,0.852,9,2,1,12.46,2,46.56,2,2,49,68.5
426,"no",33,11.527,23,6,2,63.86,0,0,4,4,38,3778.1
427,"yes",33,7.582,186,58,3,1089.99,1,36.48,4,4,47,6921.7
428,"no",36,27.742,3,2,3,35.86,1,84.16,NA,NA,2,1214.05
429,"no",37,49.424,4,2,0,0,0,0,4,3,2,644.35
430,"yes",29,3.144,8,4,3,67.18,2,66.71,2,2,57,914.6
431,"yes",21,1.35,31,12,3,250.19,0,0,2,2,64,1440.75
432,"yes",31,15.328,92,20,1,121.21,0,0,NA,NA,21,6325.25
433,"yes",31,44.924,1,0,2,0,0,0,4,3,65,343.6
434,"no",36,15.384,144,32,3,485.3,1,35.82,3,2,30,2452.7
435,"yes",41,1.533,0,0,2,0,3,213.63,4,3,8,389.6
436,"yes",33,5.545,0,0,0,0,0,0,NA,NA,17,5919.35
437,"yes",38,2.765,0,0,1,0,2,65.42,3,2,71,1931.3
438,"yes",35,46.084,46,15,0,0,1,50.58,NA,NA,34,989.45
439,"no",42,5.164,26,7,1,45.14,2,82.04,3,3,72,344.2
440,"no",35,14.892,0,0,1,0,0,0,NA,NA,40,99.75
441,"yes",44,10.304,2,1,3,19.54,1,34.14,NA,NA,72,886.4
442,"yes",33,8.331,23,9,2,102.63,0,0,NA,NA,6,20.45
443,"yes",35,2.079,2,1,4,23.79,0,0,2,1,4,298.35
444,"yes",31,58.422,1,0,2,0,3,84.34,NA,NA,7,94.5
445,"yes",38,20.566,17,3,2,36.11,1,36.8,NA,NA,55,1309.15
446,"no",23,6.173,17,5,0,0,1,29.7,3,2,62,2433.5
447,"yes",40,17.381,8,3,0,0,0,0,2,2,10,3532.85
448,"yes",35,9.139,0,0,0,0,0,0,3,2,38,1059.55
449,"no",39,5.577,0,0,3,0,0,0,2,2,1,1378.25
450,"yes",35,4.525,1,0,3,0,2,76.2,3,1,49,6014.85
451,"yes",31,9.051,0,0,2,0,0,0,3,2,71,1556.85
452,"yes",35,1.022,4,3,2,41.94,1,43.3,2,2,3,74.45
453,"yes",34,13.34,0,0,1,0,1,50.77,NA,NA,55,770.4
454,"yes",27,5.835,247,73,2,945.56,1,24.94,NA,NA,16,659.65
455,"yes",33,2.358,31,12,1,66.48,2,60.38,NA,NA,70,45.4
456,"yes",33,21.77,82,23,2,255.26,0,0,2,2,60,1734.2
457,"yes",29,2.509,19,10,1,60.42,0,0,3,2,47,8126.65
458,"yes",41,59.063,0,0,1,0,0,0,NA,NA,15,69.55
459,"yes",39,10.387,0,0,1,0,0,0,3,2,29,5683.6
460,"yes",26,78.804,83,27,1,137.08,0,0,4,4,7,6155.4
461,"yes",35,4.358,132,40,2,536.91,2,52.61,3,2,1,2139.1
462,"no",42,9.099,0,0,1,0,0,0,NA,NA,15,4741.45
463,"yes",34,1.723,35,12,2,158.73,0,0,5,4,51,3834.4
464,"yes",31,308.687,0,0,2,0,2,65.5,3,2,29,5458.8
465,"yes",41,6.595,0,0,2,0,1,45.05,2,1,3,646.05
466,"yes",31,42.56,139,47,2,525.72,0,0,3,2,43,2379.1
467,"yes",33,55.195,102,29,1,186.25,2,55.03,4,3,50,5986.55
468,"yes",34,4.667,7,1,3,19.04,1,16.38,3,2,11,1374.9
469,"yes",39,43.548,0,0,1,0,0,0,NA,NA,22,662.65
470,"yes",36,20.275,0,0,0,0,2,52.14,NA,NA,3,1646.45
471,"no",28,38.761,1,1,2,12.39,0,0,3,2,45,116.6
472,"yes",28,13.554,2,1,0,0,1,31.96,NA,NA,35,131.05
473,"yes",32,8.149,1,0,1,0,1,35,5,4,15,3713.95
474,"yes",34,1.264,75,30,2,365.84,0,0,2,1,24,20.35
475,"yes",38,34.902,0,0,2,0,0,0,NA,NA,25,1424.2
476,"no",17,8.575,16,6,2,66.34,2,78.54,2,2,14,1790.65
477,"yes",35,58.334,15,5,0,0,1,19.02,NA,NA,5,1387
478,"yes",43,1.738,16,6,2,67.86,6,117.59,2,2,13,832.05
479,"yes",31,6.453,8,3,2,36.75,2,66.23,2,1,49,5744.35
480,"no",35,2.274,0,0,1,0,0,0,3,3,12,4904.25
481,"yes",42,5.351,96,24,3,410.23,1,41.49,3,3,40,4136.4
482,"yes",31,5.264,4,2,1,12.97,3,98.74,4,5,60,1215.6
483,"yes",39,13.524,0,0,1,0,1,62.29,4,3,63,1380.4
484,"yes",32,4.304,0,0,3,0,1,54.53,4,3,54,1709.1
485,"yes",24,1.499,1,1,0,0,0,0,2,1,48,179.85
486,"yes",33,2.077,1,0,2,0,4,105.44,NA,NA,22,141.1
487,"yes",37,40.763,0,0,1,0,0,0,3,3,65,6428.4
488,"yes",34,3.676,51,22,3,349.05,1,45.62,2,2,3,1978.65
489,"yes",32,20.353,0,0,0,0,0,0,4,3,56,1423.65
490,"yes",43,18.514,1,0,1,0,0,0,4,3,9,196.75
491,"yes",30,13.71,11,5,2,65.35,1,33.06,4,3,68,2661.1
492,"yes",40,5.01,3,1,1,5.99,0,0,3,2,72,1663.75
493,"no",31,2.075,48,15,2,183.73,2,63.23,4,3,3,1733.15
494,"yes",35,18.244,1,0,1,0,2,104.67,NA,NA,21,260.9
495,"yes",30,35.654,27,7,3,123.45,1,42.72,NA,NA,52,505.9
496,"yes",35,2.353,11,3,3,60.08,6,228,NA,NA,72,521
497,"yes",34,23.191,70,25,2,255.86,0,0,NA,NA,15,104.3
498,"yes",38,13.267,9,4,3,64.66,0,0,NA,NA,15,4528
499,"yes",33,5.793,10,4,2,47.63,1,28.28,4,3,6,444.75
500,"yes",32,36.239,114,32,1,183.83,1,32.62,NA,NA,14,918.75
501,"no",35,33.884,3,1,1,5.34,1,24.72,3,3,8,20.15
502,"yes",45,2.071,90,25,1,150.45,3,85.98,3,3,15,1218.45
503,"no",34,8.527,5,0,2,0,4,148.68,NA,NA,72,4016.85
504,"yes",36,10.687,2,1,1,5.1,1,25.13,NA,NA,2,463.6
505,"yes",35,37.182,3,1,3,16.96,0,0,3,3,72,483.7
506,"yes",36,50.615,0,0,2,0,1,66.33,3,2,13,931.75
507,"no",26,20.216,25,13,2,176.66,0,0,2,2,17,19.55
508,"yes",30,7.006,11,0,1,0,1,23.38,3,2,72,6339.3
509,"yes",32,0.533,30,10,1,50.43,4,156.04,NA,NA,7,856.65
510,"yes",39,7.977,0,0,2,0,1,47.53,NA,NA,68,5588.8
511,"yes",32,3.853,14,3,0,0,1,25.75,4,2,72,7624.2
512,"yes",37,21.534,0,0,2,0,0,0,3,2,14,1750.85
513,"yes",35,127.204,1,0,0,0,0,0,2,1,22,144.15
514,"yes",38,3.305,1,1,0,0,0,0,NA,NA,45,865.05
515,"yes",42,8.481,14,3,3,67.28,1,52.1,3,1,45,398.55
516,"yes",28,16.647,0,0,0,0,0,0,2,2,56,612.1
517,"yes",35,17.439,4,1,2,10.1,1,15.49,NA,NA,12,673.1
518,"yes",27,12.699,37,10,0,0,1,32.45,3,2,18,268.45
519,"yes",37,13.205,0,0,0,0,0,0,NA,NA,11,1010
520,"yes",36,2.182,16,4,4,102.62,2,58.8,3,2,71,1426.45
521,"yes",39,5.807,58,20,2,215.84,1,24.96,3,3,37,4884.85
522,"yes",42,6.11,8,3,0,0,0,0,NA,NA,68,1292.6
523,"yes",38,5.656,36,9,2,118,0,0,2,2,5,4447.55
524,"yes",36,2.242,0,0,2,0,1,23.15,3,2,17,3053
525,"yes",36,1.163,5,3,3,56.43,0,0,5,4,2,252
526,"yes",33,25.773,55,15,1,97.25,1,10.75,3,2,16,2018.1
527,"yes",36,16.985,1,0,3,0,1,19.76,3,3,17,61.15
528,"yes",35,78.613,1,1,1,5.95,0,0,NA,NA,41,856.5
529,"yes",37,7.818,2,1,3,18.56,0,0,3,2,9,2038.7
530,"yes",25,1.894,0,0,2,0,2,45.11,3,3,52,4557.5
531,"yes",18,3.947,31,11,1,66.49,1,17.5,3,2,48,677.05
532,"yes",33,15.897,5,4,2,62.06,1,30.04,NA,NA,50,6152.4
533,"yes",28,2.114,44,11,1,73.28,1,45.85,3,2,25,1685.9
534,"yes",33,6.582,0,0,1,0,3,347.67,3,2,46,5661.7
535,"yes",36,2.362,1,1,2,12.6,1,30.49,2,2,50,5924.4
536,"yes",31,0.441,15,7,4,179.53,4,171.43,4,3,55,134.6
537,"yes",32,52.457,82,26,0,0,0,0,NA,NA,36,1714.95
538,"yes",37,12.957,0,0,0,0,2,151.97,3,4,57,4327.5
539,"yes",34,8.293,307,84,4,2008.81,3,69.17,NA,NA,25,6954.15
540,"yes",32,17.651,28,10,2,114.52,4,99.78,NA,NA,9,436.2
541,"yes",27,3.031,0,0,2,0,1,41.69,3,3,23,501
542,"yes",34,10.703,30,10,0,0,0,0,NA,NA,64,172.85
543,"yes",40,13.34,1,1,2,11.81,0,0,NA,NA,9,5706.3
544,"yes",31,1.897,12,3,0,0,3,90.34,4,4,1,170.85
545,"yes",33,14.47,0,0,5,0,0,0,3,3,41,2728.6
546,"yes",32,4.286,0,0,2,0,0,0,3,3,1,5686.4
547,"no",38,8.846,1,0,2,0,1,71.2,3,4,4,1082.8
548,"no",32,97.649,20,4,2,50.01,0,0,2,1,38,2498.4
549,"yes",31,15.685,0,0,1,0,1,25.66,NA,NA,48,272.2
550,"yes",29,14.442,0,0,3,0,0,0,4,3,9,4213.35
551,"yes",31,30.715,133,45,1,238.95,1,34.63,2,2,20,1070.5
552,"yes",22,1.679,3,2,0,0,3,139.89,NA,NA,8,316.2
553,"yes",29,8.527,12,7,0,0,0,0,NA,NA,69,5071.9
554,"yes",33,5.33,20,7,4,171.47,1,25.8,4,4,27,6411.25
555,"yes",36,12.651,62,18,1,99.1,1,53.33,3,3,66,2208.05
556,"no",40,15.908,0,0,1,0,2,57.48,NA,NA,1,828.2
557,"yes",30,27.76,39,9,1,54.97,2,87.88,NA,NA,23,608
558,"yes",32,13.84,104,39,0,0,0,0,2,1,24,6474.45
559,"yes",39,53.599,23,3,3,51.52,0,0,5,4,3,171.45
560,"yes",30,89.652,9,2,1,12.73,0,0,4,2,16,6176.6
561,"no",27,6.148,7,1,3,17.39,1,35.31,NA,NA,67,413.25
562,"yes",35,9.449,71,13,0,0,0,0,3,3,61,4055.5
563,"no",38,10.216,0,0,2,0,0,0,4,4,54,2181.55
564,"yes",30,1.525,47,16,1,91.26,2,130.45,3,2,72,273.75
565,"no",31,12.28,9,2,0,0,1,28.15,2,1,16,4009.2
566,"yes",32,3.407,1,0,1,0,2,79.72,NA,NA,4,69.6
567,"no",38,1.992,29,13,1,79.27,3,77.98,2,2,48,216.75
568,"yes",35,4.059,66,16,1,112.46,1,27.31,5,4,9,923.1
569,"yes",40,9.002,68,22,1,132.44,1,16.71,2,2,12,1308.4
570,"yes",29,3.529,14,5,2,71.95,3,103.18,2,2,65,5711.05
571,"yes",30,5.752,1,1,2,13.91,0,0,4,2,1,516.15
572,"yes",32,4.404,27,11,2,109.39,5,136.01,3,3,9,1133.65
573,"yes",44,7.041,19,3,0,0,0,0,NA,NA,29,6851.65
574,"yes",33,28.396,120,34,1,205.11,2,49.13,4,3,66,735.9
575,"yes",31,3.035,54,14,0,0,1,22.23,4,3,3,2907.55
576,"yes",34,1.488,160,46,1,257.68,3,92.44,NA,NA,35,2333.05
577,"no",34,7,0,0,3,0,2,69.44,3,2,31,19.9
578,"yes",34,70.381,0,0,1,0,0,0,3,2,67,5586.45
579,"yes",30,9.431,0,0,3,0,0,0,NA,NA,52,678.45
580,"yes",29,10.02,0,0,0,0,4,138.15,2,1,30,1362.85
581,"yes",26,9.69,2,0,2,0,3,93.75,4,3,35,6470.1
582,"yes",37,0.705,79,23,2,264.87,2,53.18,3,4,50,531
583,"yes",34,60.153,43,10,1,60.26,0,0,NA,NA,66,780.25
584,"no",38,32.317,10,3,3,58.69,0,0,4,3,9,973.25
585,"no",37,57.073,0,0,0,0,0,0,3,3,62,1893.95
586,"yes",32,3.263,0,0,2,0,2,70.94,NA,NA,4,2357.75
587,"yes",30,3.465,6,2,2,27.44,1,65.32,NA,NA,16,2655.25
588,"yes",31,3.076,3,0,1,0,3,35.12,4,4,57,4747.85
589,"yes",25,24.402,0,0,0,0,0,0,NA,NA,2,7544.3
590,"yes",35,0.903,0,0,1,0,0,0,NA,NA,52,5769.75
591,"no",27,70.975,17,6,0,0,1,42.9,3,1,12,1573.05
592,"yes",33,10.247,0,0,1,0,1,27.83,2,2,49,79.6
593,"yes",35,2.227,24,8,1,48.14,1,61.13,2,2,1,76.95
594,"yes",27,5.779,0,0,2,0,2,56.96,2,1,4,1816.2
595,"no",33,19.079,0,0,4,0,0,0,3,2,4,2365.15
596,"yes",39,3.752,141,40,1,222.28,1,21.68,2,2,58,4758.8
597,"no",33,1.804,71,26,2,340.79,3,76.03,NA,NA,71,590.35
598,"yes",32,2.342,18,6,2,83.05,3,167.27,NA,NA,51,3541.1
599,"yes",34,4.476,0,0,0,0,1,14.16,3,1,68,877.35
600,"yes",35,1.536,6,3,0,0,2,65.77,2,2,3,6581.9
601,"yes",34,44.816,10,5,2,58.07,0,0,NA,NA,47,3213.75
602,"yes",26,3.368,23,5,3,80.34,2,61.62,NA,NA,48,7748.75
603,"yes",30,5.874,67,20,1,124.49,1,37.17,4,4,9,6018.65
604,"yes",35,14.186,24,7,0,0,1,20.73,3,2,1,1864.65
605,"yes",35,5.406,15,6,1,38.56,2,55.48,3,2,53,7990.05
606,"yes",40,1.065,53,16,1,99.79,1,47.02,3,2,17,4385.05
607,"yes",35,2.879,0,0,1,0,1,69.82,3,2,72,4303.65
608,"yes",34,199.161,0,0,1,0,1,38.12,4,3,60,5278.15
609,"no",27,7.877,5,2,1,13.49,2,29.71,3,2,3,69.65
610,"no",37,10.231,0,0,1,0,1,39.98,NA,NA,12,868.1
611,"yes",38,2.001,0,0,3,0,3,67.51,NA,NA,1,7782.85
612,"yes",30,13.126,44,15,3,268.9,1,53.16,NA,NA,65,55.25
613,"yes",35,2.502,20,8,0,0,0,0,3,2,1,78.8
614,"no",40,56.351,1,1,2,11.24,0,0,2,3,72,5956.85
615,"no",33,5.631,1,1,1,6.97,1,32.95,2,1,59,679.8
616,"yes",36,12.181,5,2,1,12.11,0,0,4,3,1,6425.65
617,"yes",28,13.508,42,15,2,213.47,0,0,4,3,10,3043.6
618,"no",30,0.793,0,0,2,0,2,50.49,4,3,1,244.45
619,"yes",39,60.392,23,14,2,157.28,0,0,3,2,72,7069.25
620,"yes",32,1.362,70,29,0,0,2,62.52,2,1,35,19.25
621,"no",24,9.62,4,1,2,11.92,1,61.65,4,4,37,171
622,"yes",34,1.099,1,0,2,0,2,87.69,3,2,55,826.1
623,"yes",35,20.653,3,0,1,0,1,39.18,3,4,15,368.1
624,"yes",36,6.064,0,0,0,0,1,51.24,3,1,9,1253.15
625,"yes",44,19.915,0,0,0,0,3,63.41,2,3,65,523.5
626,"yes",31,13.441,83,24,1,159.3,1,27.08,3,2,72,874.2
627,"yes",33,4.214,71,20,2,252.92,0,0,NA,NA,24,4853.75
628,"no",29,216.501,113,34,3,581.28,0,0,2,3,5,714.15
629,"yes",32,3.963,5,1,0,0,1,22.35,NA,NA,55,839.4
630,"no",37,28.804,1,0,3,0,0,0,2,2,63,1424.5
631,"no",34,3.943,0,0,2,0,0,0,NA,NA,19,4891.5
632,"yes",39,1.401,0,0,1,0,1,21.56,NA,NA,51,1270.55
633,"yes",42,1.923,83,26,0,0,1,27.2,NA,NA,11,6613.65
634,"yes",30,4.466,1,0,1,0,1,20.34,NA,NA,37,703.55
635,"yes",39,0.362,2,0,3,0,4,289.72,NA,NA,72,49.5
636,"yes",36,30.628,29,8,1,51.85,0,0,2,3,71,903.7
637,"no",37,14.763,22,9,0,0,0,0,3,2,70,70.45
638,"no",34,39.532,1,1,0,0,0,0,4,4,30,275.4
639,"yes",35,10.41,74,27,1,193.81,1,21.89,NA,NA,10,114.7
640,"no",33,29.788,10,4,2,49.62,1,20.01,3,2,0,1581.2
641,"yes",27,14.52,0,0,2,0,0,0,NA,NA,57,1907.85
642,"yes",42,11.981,3,2,0,0,0,0,3,1,43,2234.55
643,"yes",28,6.803,0,0,2,0,2,56.45,2,1,13,4144.9
644,"no",31,90.164,130,42,0,0,0,0,3,3,23,1553.2
645,"yes",32,7.036,60,20,3,369.12,2,40.06,NA,NA,48,5676
646,"yes",35,1.972,1,0,1,0,3,112.34,3,2,52,4149.45
647,"yes",27,21.986,0,0,1,0,0,0,3,3,33,2135.5
648,"no",27,11.518,3,1,1,6.86,2,45.95,3,2,56,2587.7
649,"yes",38,1.909,11,5,2,57.22,2,65.69,NA,NA,64,3196
650,"yes",34,14.696,136,30,2,407.37,0,0,3,2,6,2106.05
651,"no",37,27.324,0,0,2,0,0,0,NA,NA,4,5574.75
652,"yes",25,41.401,0,0,1,0,0,0,NA,NA,10,1345.55
653,"no",17,39.936,30,8,0,0,0,0,4,4,16,8075.35
654,"yes",22,1.906,34,8,2,90.54,3,131.78,3,3,64,253.9
655,"yes",39,3.48,15,5,3,81.27,3,134.72,3,2,43,1022.6
656,"yes",38,13.676,12,6,2,65.12,1,21.37,4,1,52,607.3
657,"yes",39,34.522,12,7,1,46.01,0,0,4,5,41,1901.25
658,"yes",35,10.478,5,3,2,42.7,1,28.06,4,3,11,29.7
659,"yes",40,1.619,17,4,4,100.87,6,209.21,2,1,54,5426.85
660,"yes",37,5.965,0,0,2,0,1,48.96,NA,NA,68,892.7
661,"yes",31,6.555,4,1,1,4.95,2,101.91,NA,NA,13,25.25
662,"no",34,4.184,6,2,3,33.82,4,166,3,3,46,55.55
663,"no",34,13.818,15,7,2,81.12,2,47.11,4,4,47,4298.45
664,"yes",39,7.189,0,0,1,0,1,15.52,3,2,68,1886.25
665,"no",41,8.003,4,2,2,26.62,5,170.02,NA,NA,41,1980.3
