"","ad_id","reporting_start","reporting_end","campaign_id","fb_campaign_id","age","gender","interest1","interest2","interest3","impressions","clicks","spent","total_conversion","approved_conversion"
"1",708746,"17/08/2017","17/08/2017","916","103916","30-34","M",15,17,17,7350,1,1.429999948,2,1
"2",708749,"17/08/2017","17/08/2017","916","103917","30-34","M",16,19,21,17861,2,1.820000023,2,0
"3",708771,"17/08/2017","17/08/2017","916","103920","30-34","M",20,25,22,693,0,0,1,0
"4",708815,"30/08/2017","30/08/2017","916","103928","30-34","M",28,32,32,4259,1,1.25,1,0
"5",708818,"17/08/2017","17/08/2017","916","103928","30-34","M",28,33,32,4133,1,1.289999962,1,1
"6",708820,"17/08/2017","17/08/2017","916","103929","30-34","M",29,30,30,1915,0,0,1,1
"7",708889,"17/08/2017","17/08/2017","916","103940","30-34","M",15,16,17,15615,3,4.769999981,1,0
"8",708895,"17/08/2017","17/08/2017","916","103941","30-34","M",16,20,18,10951,1,1.269999981,1,1
"9",708953,"17/08/2017","17/08/2017","916","103951","30-34","M",27,31,31,2355,1,1.5,1,0
"10",708958,"30/08/2017","30/08/2017","916","103952","30-34","M",28,32,31,9502,3,3.159999967,1,0
"11",708979,"30/08/2017","30/08/2017","916","103955","30-34","M",31,37,34,1224,0,0,1,0
"12",709023,"29/08/2017","29/08/2017","916","103962","30-34","M",7,8,8,735,0,0,1,0
"13",709038,"29/08/2017","29/08/2017","916","103965","30-34","M",16,20,22,5117,0,0,1,0
"14",709040,"29/08/2017","29/08/2017","916","103965","30-34","M",16,19,21,5120,0,0,1,0
"15",709059,"30/08/2017","30/08/2017","916","103968","30-34","M",20,26,23,14669,7,10.28000021,1,1
"16",709105,"30/08/2017","30/08/2017","916","103976","30-34","M",28,30,32,1241,0,0,1,1
"17",709115,"30/08/2017","30/08/2017","916","103978","30-34","M",30,34,31,2305,1,0.569999993,1,0
"18",709124,"30/08/2017","30/08/2017","916","103979","30-34","M",31,34,33,1024,0,0,1,1
"19",709179,"30/08/2017","30/08/2017","916","103988","35-39","M",15,16,17,4627,1,1.690000057,1,0
"20",709183,"30/08/2017","30/08/2017","916","103989","35-39","M",16,20,22,21026,4,4.630000114,2,1
"21",709320,"17/08/2017","17/08/2017","916","104012","35-39","M",15,21,20,1422,0,0,1,1
"22",709323,"17/08/2017","17/08/2017","916","104012","35-39","M",15,17,19,7132,2,2.609999895,1,0
"23",709326,"18/08/2017","18/08/2017","916","104013","35-39","M",16,22,22,12190,2,3.049999952,1,0
"24",709327,"18/08/2017","18/08/2017","916","104013","35-39","M",16,22,20,12193,2,3.059999943,1,1
"25",709328,"18/08/2017","18/08/2017","916","104013","35-39","M",16,19,18,3332,0,0,1,1
"26",709455,"18/08/2017","18/08/2017","916","104034","35-39","M",7,12,10,559,0,0,1,0
"27",709544,"18/08/2017","18/08/2017","916","104049","35-39","M",29,33,32,7440,2,2.980000019,1,1
"28",709614,"19/08/2017","19/08/2017","916","104061","40-44","M",16,19,20,19113,4,5.5200001,1,0
"29",709756,"19/08/2017","19/08/2017","916","104085","40-44","M",16,21,21,10976,2,1.690000057,1,1
"30",709761,"18/08/2017","18/08/2017","916","104085","40-44","M",16,19,20,2861,0,0,1,0
"31",709899,"18/08/2017","18/08/2017","916","104108","40-44","M",15,18,20,1398,0,0,1,1
"32",709901,"18/08/2017","18/08/2017","916","104109","40-44","M",16,18,20,23817,7,8.470000148,1,1
"33",710045,"17/08/2017","17/08/2017","916","104133","45-49","M",16,22,17,47224,12,15.82000017,1,0
"34",710088,"17/08/2017","17/08/2017","916","104140","45-49","M",24,26,27,2283,1,1.470000029,1,0
"35",710360,"17/08/2017","17/08/2017","916","104185","45-49","M",21,26,24,2182,1,1.529999971,1,1
"36",710477,"17/08/2017","17/08/2017","916","104205","30-34","F",16,19,19,2654,0,0,1,1
"37",710480,"17/08/2017","17/08/2017","916","104205","30-34","F",16,21,20,57665,14,18.06999969,1,1
"38",710571,"18/08/2017","18/08/2017","916","104220","30-34","F",32,37,38,3091,1,1.610000014,1,1
"39",710617,"18/08/2017","18/08/2017","916","104228","30-34","F",15,19,16,5014,1,1.190000057,1,0
"40",710623,"18/08/2017","18/08/2017","916","104229","30-34","F",16,19,20,38726,7,9.220000267,1,0
"41",710628,"17/08/2017","17/08/2017","916","104230","30-34","F",18,24,22,1473,0,0,1,0
"42",710682,"29/08/2017","29/08/2017","916","104239","30-34","F",27,33,32,1186,0,0,1,0
"43",710763,"29/08/2017","29/08/2017","916","104252","30-34","F",15,19,17,5369,1,1.50999999,1,0
"44",710836,"27/08/2017","27/08/2017","916","104265","30-34","F",29,33,31,22221,7,9.430000067,1,1
"45",710867,"26/08/2017","26/08/2017","916","104270","30-34","F",63,64,68,1185,0,0,1,0
"46",710880,"26/08/2017","26/08/2017","916","104272","30-34","F",65,70,68,13019,5,6.960000038,1,0
"47",710961,"27/08/2017","27/08/2017","916","104285","35-39","F",25,29,26,2508,1,1.220000029,1,0
"48",710968,"27/08/2017","27/08/2017","916","104287","35-39","F",27,31,29,5864,2,2.799999952,1,1
"49",711217,"27/08/2017","27/08/2017","916","104328","35-39","F",20,26,23,2783,1,1.600000024,1,0
"50",711623,"27/08/2017","27/08/2017","916","104396","40-44","F",15,18,20,3812,1,1.129999995,2,1
"51",711764,"27/08/2017","27/08/2017","916","104419","45-49","F",10,16,11,11199,4,5.730000019,1,1
"52",711785,"26/08/2017","26/08/2017","916","104423","45-49","F",19,25,23,292,0,0,1,0
"53",711877,"26/08/2017","26/08/2017","916","104438","45-49","F",63,67,65,17572,7,9.379999995,1,0
"54",712052,"25/08/2017","25/08/2017","916","104467","45-49","F",10,13,11,1448,0,0,1,1
"55",734209,"25/08/2017","25/08/2017","936","108654","30-34","M",10,16,14,1772,0,0,1,1
"56",734210,"25/08/2017","25/08/2017","936","108654","30-34","M",10,16,13,13329,4,5.629999995,1,1
"57",734215,"26/08/2017","26/08/2017","936","108655","30-34","M",15,19,17,13659,3,3.840000033,1,0
"58",734243,"26/08/2017","26/08/2017","936","108660","30-34","M",21,23,24,739,0,0,1,1
"59",734266,"26/08/2017","26/08/2017","936","108664","30-34","M",25,30,27,605,0,0,1,0
"60",734272,"26/08/2017","26/08/2017","936","108665","30-34","M",26,32,29,1030,0,0,1,0
"61",734290,"26/08/2017","26/08/2017","936","108668","30-34","M",29,32,35,5374,1,1.039999962,4,0
"62",734313,"26/08/2017","26/08/2017","936","108672","30-34","M",36,38,38,790,0,0,1,1
"63",734314,"27/08/2017","27/08/2017","936","108672","30-34","M",36,38,38,962,0,0,1,0
"64",734352,"27/08/2017","27/08/2017","936","108678","35-39","M",10,11,16,4423,1,1.460000038,1,1
"65",734361,"29/08/2017","29/08/2017","936","108680","35-39","M",16,19,19,12382,2,2.839999914,1,1
"66",734381,"29/08/2017","29/08/2017","936","108683","35-39","M",20,25,24,2938,1,1.350000024,1,1
"67",734399,"28/08/2017","28/08/2017","936","108686","35-39","M",23,24,27,239,0,0,1,0
"68",734418,"29/08/2017","29/08/2017","936","108689","35-39","M",26,27,28,591,0,0,1,0
"69",734421,"29/08/2017","29/08/2017","936","108690","35-39","M",27,29,32,10332,4,5.75,1,0
"70",734427,"29/08/2017","29/08/2017","936","108691","35-39","M",28,29,31,8259,3,3.980000019,1,0
"71",734433,"29/08/2017","29/08/2017","936","108692","35-39","M",29,35,31,12158,3,4.449999928,1,0
"72",734582,"29/08/2017","29/08/2017","936","108716","40-44","M",29,33,33,7709,2,1.320000052,2,0
"73",734605,"28/08/2017","28/08/2017","936","108720","40-44","M",36,37,41,834,0,0,1,0
"74",734660,"28/08/2017","28/08/2017","936","108729","45-49","M",18,22,23,1299,0,0,2,0
"75",734666,"28/08/2017","28/08/2017","936","108730","45-49","M",19,24,20,371,0,0,1,0
"76",734726,"28/08/2017","28/08/2017","936","108740","45-49","M",29,30,35,10466,3,4.090000033,1,0
"77",734737,"27/08/2017","27/08/2017","936","108742","45-49","M",31,37,33,839,0,0,1,0
"78",734785,"28/08/2017","28/08/2017","936","108750","30-34","F",10,13,13,5576,1,1.529999971,1,1
"79",734794,"28/08/2017","28/08/2017","936","108752","30-34","F",16,19,17,4010,0,0,1,0
"80",734796,"28/08/2017","28/08/2017","936","108752","30-34","F",16,22,17,39337,7,10.03000009,1,1
"81",734800,"28/08/2017","28/08/2017","936","108753","30-34","F",18,20,20,1635,0,0,1,0
"82",734803,"28/08/2017","28/08/2017","936","108753","30-34","F",18,19,21,1631,0,0,1,0
"83",734852,"28/08/2017","28/08/2017","936","108761","30-34","F",26,30,29,13479,3,4.25,1,0
"84",734854,"19/08/2017","19/08/2017","936","108762","30-34","F",27,33,32,57022,13,20.29000032,3,3
"85",734856,"19/08/2017","19/08/2017","936","108762","30-34","F",27,28,32,5453,1,1.389999986,1,1
"86",734866,"20/08/2017","20/08/2017","936","108764","30-34","F",29,32,31,11803,3,4.440000057,1,0
"87",734881,"20/08/2017","20/08/2017","936","108766","30-34","F",31,32,34,4259,1,1.570000052,1,1
"88",734901,"20/08/2017","20/08/2017","936","108770","30-34","F",64,70,68,1554,0,0,1,0
"89",734903,"20/08/2017","20/08/2017","936","108770","30-34","F",64,69,67,5323,1,1.289999962,1,1
"90",734925,"20/08/2017","20/08/2017","936","108774","35-39","F",10,11,12,5024,1,1.409999967,1,1
"91",734939,"20/08/2017","20/08/2017","936","108776","35-39","F",16,19,22,104648,24,33.33000004,4,2
"92",734968,"20/08/2017","20/08/2017","936","108781","35-39","F",22,25,27,8504,3,3.340000093,1,1
"93",734999,"20/08/2017","20/08/2017","936","108786","35-39","F",27,32,32,20277,6,8.050000072,1,0
"94",735014,"19/08/2017","19/08/2017","936","108788","35-39","F",29,34,30,12403,4,5.210000038,1,1
"95",735032,"19/08/2017","19/08/2017","936","108791","35-39","F",32,33,34,498,0,0,1,1
"96",735033,"18/08/2017","18/08/2017","936","108792","35-39","F",36,40,40,652,0,0,0,0
"97",735043,"18/08/2017","18/08/2017","936","108793","35-39","F",63,65,69,1357,0,0,1,1
"98",735048,"18/08/2017","18/08/2017","936","108794","35-39","F",64,65,68,1393,0,0,1,0
"99",735065,"19/08/2017","19/08/2017","936","108797","40-44","F",7,10,12,648,0,0,1,0
"100",735109,"19/08/2017","19/08/2017","936","108804","40-44","F",21,26,25,708,0,0,1,1
"101",735140,"19/08/2017","19/08/2017","936","108809","40-44","F",26,27,31,6907,2,2.349999964,1,0
"102",735143,"19/08/2017","19/08/2017","936","108810","40-44","F",27,28,30,39035,13,19.32999957,1,0
"103",735151,"19/08/2017","19/08/2017","936","108811","40-44","F",28,30,31,926,0,0,1,0
"104",735184,"19/08/2017","19/08/2017","936","108817","40-44","F",63,66,67,4412,1,1.450000048,1,0
"105",735189,"21/08/2017","21/08/2017","936","108818","40-44","F",64,65,66,9965,3,4.050000072,1,0
"106",735213,"21/08/2017","21/08/2017","936","108822","45-49","F",10,16,11,73634,23,32.97999978,1,0
"107",735220,"18/08/2017","18/08/2017","936","108823","45-49","F",15,17,17,69708,20,31.28999949,1,0
"108",735242,"18/08/2017","18/08/2017","936","108826","45-49","F",19,25,21,530,0,0,1,0
"109",735247,"18/08/2017","18/08/2017","936","108827","45-49","F",20,24,25,14257,6,8.789999962,1,0
"110",735289,"18/08/2017","18/08/2017","936","108834","45-49","F",27,30,30,20362,5,9.119999886,1,1
"111",735290,"18/08/2017","18/08/2017","936","108834","45-49","F",27,29,33,12215,4,6.26000011,1,0
"112",735298,"18/08/2017","18/08/2017","936","108836","45-49","F",29,31,32,85412,28,38.63999999,2,1
"113",736869,"18/08/2017","18/08/2017","936","109448","30-34","M",2,6,8,2338,1,0.239999995,1,0
"114",736890,"18/08/2017","18/08/2017","936","109451","30-34","M",15,16,20,2522,0,0,1,0
"115",736893,"18/08/2017","18/08/2017","936","109452","30-34","M",16,17,17,3587,0,0,1,0
"116",736977,"18/08/2017","18/08/2017","936","109470","30-34","M",27,30,28,1273,0,0,1,0
"117",736988,"21/08/2017","21/08/2017","936","109472","30-34","M",28,29,29,3891,1,1.090000033,1,0
"118",736995,"21/08/2017","21/08/2017","936","109473","30-34","M",29,34,34,1888,0,0,1,0
"119",736997,"21/08/2017","21/08/2017","936","109473","30-34","M",29,32,33,1895,0,0,1,0
"120",737097,"21/08/2017","21/08/2017","936","109498","35-39","M",7,10,11,715,0,0,1,0
"121",737130,"21/08/2017","21/08/2017","936","109507","35-39","M",16,19,18,11199,2,2.680000067,1,0
"122",737320,"18/08/2017","18/08/2017","936","109553","35-39","M",63,64,66,5676,2,3.00999999,1,0
"123",737375,"21/08/2017","21/08/2017","936","109565","40-44","M",10,11,11,1415,0,0,1,0
"124",737524,"21/08/2017","21/08/2017","936","109601","40-44","M",30,34,33,2148,1,1.580000043,1,1
"125",737644,"21/08/2017","21/08/2017","936","109629","45-49","M",16,22,17,45401,10,14.06000042,1,0
"126",737657,"18/08/2017","18/08/2017","936","109633","45-49","M",18,23,20,7478,2,2.900000095,1,1
"127",737658,"18/08/2017","18/08/2017","936","109633","45-49","M",18,19,24,4919,1,1.590000033,1,0
"128",737674,"20/08/2017","20/08/2017","936","109637","45-49","M",20,21,24,533,0,0,1,1
"129",737766,"20/08/2017","20/08/2017","936","109659","45-49","M",29,33,33,1447,0,0,1,1
"130",737896,"20/08/2017","20/08/2017","936","109689","30-34","F",16,21,22,17553,3,4.590000153,1,0
"131",737931,"20/08/2017","20/08/2017","936","109698","30-34","F",20,26,24,3343,1,0.540000021,1,0
"132",737961,"20/08/2017","20/08/2017","936","109706","30-34","F",23,29,28,523,0,0,1,0
"133",737995,"20/08/2017","20/08/2017","936","109714","30-34","F",26,27,31,1873,0,0,1,0
"134",738006,"20/08/2017","20/08/2017","936","109717","30-34","F",27,29,32,34740,7,13.41000009,1,1
"135",738067,"20/08/2017","20/08/2017","936","109731","30-34","F",32,37,36,658,0,0,1,0
"136",738098,"20/08/2017","20/08/2017","936","109738","30-34","F",64,70,68,1539,0,0,1,0
"137",738307,"20/08/2017","20/08/2017","936","109788","35-39","F",31,36,36,3010,1,0.860000014,1,1
"138",738389,"19/08/2017","19/08/2017","936","109808","40-44","F",10,16,12,27081,9,10.77000046,1,1
"139",738408,"19/08/2017","19/08/2017","936","109813","40-44","F",16,22,22,20233,4,5.590000153,3,0
"140",738413,"19/08/2017","19/08/2017","936","109813","40-44","F",16,17,19,147159,36,58.16000044,3,1
"141",738423,"19/08/2017","19/08/2017","936","109816","40-44","F",18,20,24,21664,7,10.61999977,1,1
"142",738436,"19/08/2017","19/08/2017","936","109820","40-44","F",19,21,20,9112,4,5.460000038,1,1
"143",738463,"20/08/2017","20/08/2017","936","109826","40-44","F",21,23,24,542,0,0,1,0
"144",738528,"19/08/2017","19/08/2017","936","109839","40-44","F",30,34,33,402,0,0,1,1
"145",738560,"19/08/2017","19/08/2017","936","109844","40-44","F",64,70,66,1338,0,0,1,0
"146",738582,"19/08/2017","19/08/2017","936","109848","45-49","F",10,16,12,46150,15,20.17999983,1,1
"147",738592,"20/08/2017","20/08/2017","936","109850","45-49","F",16,22,20,493821,116,176.3799977,4,1
"148",738593,"20/08/2017","20/08/2017","936","109850","45-49","F",16,17,21,92011,27,34.39000046,2,1
"149",738598,"21/08/2017","21/08/2017","936","109851","45-49","F",18,23,24,12956,4,5.49000001,1,1
"150",738606,"21/08/2017","21/08/2017","936","109852","45-49","F",19,20,23,529,0,0,1,0
"151",738637,"21/08/2017","21/08/2017","936","109857","45-49","F",24,26,30,944,1,1.419999957,1,0
"152",738648,"18/08/2017","18/08/2017","936","109859","45-49","F",26,30,27,111090,38,51.97000027,5,1
"153",747212,"18/08/2017","18/08/2017","936","110836","30-34","M",10,16,14,7208,2,3.190000057,1,0
"154",747213,"18/08/2017","18/08/2017","936","110836","30-34","M",10,12,11,1746,0,0,1,0
"155",747220,"18/08/2017","18/08/2017","936","110837","30-34","M",15,17,16,2474,0,0,2,2
"156",747222,"18/08/2017","18/08/2017","936","110838","30-34","M",16,22,20,12489,2,1.960000038,1,0
"157",747223,"18/08/2017","18/08/2017","936","110838","30-34","M",16,18,18,8032,1,0.600000024,2,0
"158",747248,"21/08/2017","21/08/2017","936","110842","30-34","M",21,24,24,472,0,0,1,1
"159",747332,"21/08/2017","21/08/2017","936","110856","30-34","M",64,68,65,792,0,0,1,1
"160",747362,"21/08/2017","21/08/2017","936","110861","35-39","M",15,16,18,4607,1,1.149999976,1,1
"161",747369,"21/08/2017","21/08/2017","936","110862","35-39","M",16,17,21,13355,2,3.180000067,1,1
"162",747370,"20/08/2017","20/08/2017","936","110862","35-39","M",16,17,19,2936,0,0,1,0
"163",747401,"21/08/2017","21/08/2017","936","110867","35-39","M",22,25,25,2793,1,0.980000019,1,1
"164",747435,"21/08/2017","21/08/2017","936","110873","35-39","M",28,29,30,1032,0,0,1,0
"165",747439,"21/08/2017","21/08/2017","936","110874","35-39","M",29,35,33,1662,0,0,1,1
"166",747489,"21/08/2017","21/08/2017","936","110882","40-44","M",2,7,6,4016,2,1.480000049,1,1
"167",747514,"21/08/2017","21/08/2017","936","110886","40-44","M",16,20,17,14843,3,2.939999938,1,1
"168",747645,"21/08/2017","21/08/2017","936","110908","45-49","M",10,14,13,9674,3,4.600000024,1,1
"169",747659,"25/08/2017","25/08/2017","936","110910","45-49","M",16,21,17,12186,2,2.669999957,1,0
"170",747675,"25/08/2017","25/08/2017","936","110913","45-49","M",20,22,21,673,0,0,1,0
"171",747678,"25/08/2017","25/08/2017","936","110914","45-49","M",21,27,23,370,0,0,1,1
"172",747712,"24/08/2017","24/08/2017","936","110919","45-49","M",26,30,29,450,0,0,1,1
"173",747790,"24/08/2017","24/08/2017","936","110932","30-34","F",10,12,14,2077,0,0,1,1
"174",747791,"25/08/2017","25/08/2017","936","110932","30-34","F",10,14,13,31393,8,10.96000051,1,1
"175",747795,"25/08/2017","25/08/2017","936","110933","30-34","F",15,21,18,8410,2,2.359999895,1,1
"176",747798,"25/08/2017","25/08/2017","936","110934","30-34","F",16,21,20,25884,5,7.350000143,1,0
"177",747824,"25/08/2017","25/08/2017","936","110938","30-34","F",21,24,23,608,0,0,1,1
"178",747828,"25/08/2017","25/08/2017","936","110939","30-34","F",22,24,24,28488,10,9.340000033,1,0
"179",747852,"24/08/2017","24/08/2017","936","110943","30-34","F",26,32,32,10126,3,4.619999886,1,0
"180",747859,"24/08/2017","24/08/2017","936","110944","30-34","F",27,32,33,22572,5,8.5,1,0
"181",747863,"24/08/2017","24/08/2017","936","110944","30-34","F",27,30,33,1955,0,0,1,1
"182",747879,"24/08/2017","24/08/2017","936","110947","30-34","F",30,36,31,493,0,0,1,0
"183",747903,"24/08/2017","24/08/2017","936","110951","30-34","F",63,69,69,1491,0,0,1,1
"184",747911,"24/08/2017","24/08/2017","936","110952","30-34","F",64,66,66,1495,0,0,1,1
"185",747968,"24/08/2017","24/08/2017","936","110962","35-39","F",21,27,24,512,0,0,0,0
"186",747991,"24/08/2017","24/08/2017","936","110966","35-39","F",25,31,27,4868,2,2.420000076,1,0
"187",748000,"24/08/2017","24/08/2017","936","110967","35-39","F",26,27,32,6585,2,2.950000048,1,0
"188",748007,"24/08/2017","24/08/2017","936","110968","35-39","F",27,29,28,10164,2,3.720000029,1,1
"189",748014,"24/08/2017","24/08/2017","936","110970","35-39","F",29,31,35,11182,4,4.449999809,1,0
"190",748045,"25/08/2017","25/08/2017","936","110975","35-39","F",63,69,64,1238,0,0,1,0
"191",748086,"25/08/2017","25/08/2017","936","110982","40-44","F",16,19,18,34127,8,13.07000017,1,0
"192",748087,"26/08/2017","26/08/2017","936","110982","40-44","F",16,22,19,29466,7,10.84999967,2,0
"193",748089,"26/08/2017","26/08/2017","936","110982","40-44","F",16,18,21,38759,9,10.84999967,1,0
"194",748091,"26/08/2017","26/08/2017","936","110982","40-44","F",16,17,19,41720,10,12.06000006,1,1
"195",748225,"26/08/2017","26/08/2017","936","111005","45-49","F",15,16,17,18602,5,8.860000134,1,0
